"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"11",28126.584729216,28361.2941365144,28636.6294395312,28955.407462163,29187.2960773292,29479.6929576388,29729.3493330871,29999.89942596,30254.1170797107,30507.9180262192,30796.4049425853,31083.774142133,31344.0022896582,31604.3565002377
"12",28078.5056244615,28356.8282546996,28656.4564987289,28939.1480394226,29179.5529350174,29467.9711834049,29754.3213645467,30020.826442816,30272.4819970022,30535.6815219221,30811.9034403114,31079.170722103,31332.2363083709,31598.1145137662
"13",28124.4525070997,28404.0549334006,28647.6066307432,28924.468664863,29175.124938969,29461.638569098,29703.4095310975,29990.4540212421,30257.5967987138,30525.0156906498,30785.2210544565,31080.7332156696,31351.6278975407,31601.3044867589
"14",28103.091650162,28363.0918593133,28638.1904944771,28899.9579993731,29199.1176360759,29459.5292172396,29734.3792570779,29961.8409534014,30270.6141215611,30532.5160278174,30826.1606205441,31062.8448199609,31374.5954626088,31600.6248538542
"15",28120.1262133784,28372.9322184342,28632.6420966041,28938.0129408655,29180.5273844161,29469.4590585312,29731.8532232727,29994.9898795455,30228.3143338959,30501.8983430922,30778.268297265,31067.3346355806,31335.4928953195,31626.4593187377
"16",28104.1880641723,28392.2353059078,28661.3581692009,28913.3671614773,29179.751808151,29458.2044595881,29721.1152825914,29963.9652113741,30265.2171818324,30528.0635373407,30819.0425766486,31071.6573513671,31331.9465614855,31655.4814108754
"17",28128.1055931296,28355.4727395178,28627.1887903884,28927.9125912778,29191.2034441715,29451.7241440308,29729.2223305527,30003.4201299647,30257.1652952329,30565.0008059563,30807.0872548268,31067.8491512386,31333.84306697,31591.0057150399
"18",28123.2610241772,28384.9222785814,28671.9893819909,28927.7905044537,29176.1590104985,29437.8974890125,29737.9516242467,29974.2161355788,30299.6475745133,30519.8725765441,30789.7680299246,31067.5188670648,31357.5734751285,31619.5307254582
"19",28149.5535775602,28365.6920536482,28613.4342903476,28914.4417365681,29174.8751736186,29448.0443015458,29727.1594202343,30016.0378806423,30256.5542371576,30545.3790248825,30810.7373787257,31096.4844707863,31352.5261470106,31615.8650428429
"20",28116.1385655863,28377.8952551975,28640.1615120587,28909.1186013092,29167.7999699657,29476.6553440499,29733.7002226477,29974.260899369,30258.1487273892,30513.5642912776,30816.176467743,31077.4041294623,31357.7466327934,31624.1457803752
