"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"22",4.84720406519095,4.82242053844006,4.8059373275594,4.81423600422076,4.84706863693919,4.76763739747778,4.86639138189146,4.80137590340354,4.81949151521961,4.80716025928708,4.7772695035071,4.75725340489769,4.72970970307349,4.80307466612402
"23",4.78505042162653,4.82573294193297,4.82588631110231,4.82251034813512,4.76781373086269,4.79288913479716,4.77047287137454,4.77932656583061,4.85626913717218,4.85837357415579,4.80618272933458,4.86705089214988,4.82951010369179,4.82559493340942
"24",4.78139668954824,4.85413868084033,4.78979404980262,4.79351935487184,4.77468432902694,4.7834789068478,4.79082275167175,4.78582592039074,4.75398070014845,4.84086920615256,4.82173823329781,4.79342493612789,4.8563778833689,4.75736118330172
"25",4.79935545194181,4.7887009288835,4.77496005424384,4.80610196988613,4.82697541219647,4.79806012016036,4.78205417134637,4.84758702465548,4.79274857619606,4.85473130206433,4.84948639045615,4.77544326314718,4.80259777012863,4.79994296674252
"26",4.83048413243,4.79015237114542,4.83536729771794,4.85976792228687,4.77887724555555,4.78013283681845,4.81552626459688,4.80731783691177,4.79715307739548,4.72666531563613,4.79310799860115,4.72524773765367,4.75623381298549,4.77995596140572
"27",4.86802701856151,4.84206542924599,4.75807129681109,4.81781166971892,4.77642991741602,4.83660563374127,4.81658491324841,4.81207325019532,4.75466339628068,4.85571724160177,4.82545130136701,4.79921672602241,4.74981349005153,4.75129893872514
"28",4.80054921193337,4.85101085477897,4.72704753437377,4.82974857342963,4.88659301235708,4.7895997669405,4.77008583439906,4.80568665087468,4.82988095965823,4.82455959386095,4.74024346225042,4.86417450402091,4.74138332468645,4.82089448855587
"29",4.79391516035127,4.8029718666514,4.77972781156937,4.82484819957342,4.73108507123426,4.82908286211813,4.76571745238463,4.7810021026362,4.85296891704345,4.75819992010738,4.82912503210979,4.79969568231225,4.80160347436686,4.73055579657576
"30",4.75664644720186,4.82929737678717,4.77739165755179,4.76083359398358,4.87248757740055,4.79497946449845,4.80241598524287,4.78847503696736,4.84491395686602,4.85731817237204,4.87769704219569,4.81059008927931,4.77670098622407,4.84495351250608
"31",4.76283766420851,4.73350370914871,4.76740262228119,4.77622557175,4.80536712442222,4.8336680961824,4.82751407014921,4.80675091455834,4.74701710921382,4.76674928565453,4.7760016268599,4.79615980912955,4.76734271211764,4.78013107658874
"32",4.7962443635193,4.78825860602099,4.84035516438925,4.72742840516281,4.80929750878838,4.82451667770983,4.80811568867467,4.76608966897252,4.78664742642276,4.87188011370209,4.83049182733346,4.80599931509193,4.74078041710664,4.79979992542511
"33",4.69527799282307,4.7269601631232,4.74198456637907,4.77084543437166,4.75940765848841,4.77839563693046,4.80205684935432,4.76732359376582,4.78656028895562,4.7708615962713,4.76021926907114,4.79130677672773,4.75873038819056,4.79176466341092
"34",4.85725468674114,4.79386340401745,4.78750663011831,4.84809810618116,4.79786586285191,4.85734829286481,4.81242211828621,4.81238926176761,4.78393528054395,4.78220166593527,4.80503813104794,4.7516473217619,4.87991080127382,4.78217803232036
"35",4.81738281063258,4.7998547701538,4.80899283394012,4.82589724311177,4.81804459503812,4.76272613591673,4.80777102460445,4.76929833099849,4.73650611533547,4.80802821853851,4.8131652743498,4.87235788780137,4.81951699966207,4.78782939772949
"36",4.84179813526601,4.78570722534678,4.71361978221608,4.80962605556214,4.8417079749248,4.77998724327057,4.80049261299948,4.79421913931674,4.81905350597241,4.8300954137478,4.82899190876387,4.77795245719258,4.78826323960775,4.77895828412708
"37",4.80162634240014,4.8150821918275,4.80943434489883,4.80657684385338,4.77704919802188,4.77805340405112,4.79769539376343,4.76899109088654,4.7719329883814,4.77958186773496,4.82776435907098,4.77981475632343,4.82071843312104,4.8418059297421
"38",4.69856968750759,4.71946145631802,4.85322263994181,4.82300600634467,4.73495789329596,4.79741297262373,4.83796597933726,4.79712242787458,4.79804392164478,4.77581029557356,4.83519214323145,4.77848905799475,4.76358114165459,4.81155886915813
